accession,symbol,mito_pathways,description,coverage_percent,abundance_raw_wt_spf_1,abundance_raw_wt_spf_2,abundance_raw_aso_spf_1,abundance_raw_aso_spf_2,abundance_raw_aso_spf_3,abundance_raw_wt_spf_3,abundance_raw_aso_spf_4,abundance_raw_wt_spf_4,abundance_raw_wt_gf_1,abundance_raw_wt_gf_2,abundance_raw_wt_gf_3,abundance_raw_wt_gf_4,abundance_raw_aso_gf_1,abundance_raw_aso_gf_2,abundance_raw_aso_gf_3,abundance_raw_aso_gf_4,abundance_norm_wt_spf_1,abundance_norm_wt_spf_2,abundance_norm_aso_spf_1,abundance_norm_aso_spf_2,abundance_norm_aso_spf_3,abundance_norm_wt_spf_3,abundance_norm_aso_spf_4,abundance_norm_wt_spf_4,abundance_norm_wt_gf_1,abundance_norm_wt_gf_2,abundance_norm_wt_gf_3,abundance_norm_wt_gf_4,abundance_norm_aso_gf_1,abundance_norm_aso_gf_2,abundance_norm_aso_gf_3,abundance_norm_aso_gf_4,abundance_scaled_wt_spf_1,abundance_scaled_wt_spf_2,abundance_scaled_aso_spf_1,abundance_scaled_aso_spf_2,abundance_scaled_aso_spf_3,abundance_scaled_wt_spf_3,abundance_scaled_aso_spf_4,abundance_scaled_wt_spf_4,abundance_scaled_wt_gf_1,abundance_scaled_wt_gf_2,abundance_scaled_wt_gf_3,abundance_scaled_wt_gf_4,abundance_scaled_aso_gf_1,abundance_scaled_aso_gf_2,abundance_scaled_aso_gf_3,abundance_scaled_aso_gf_4,exp_q-value_combined,sum_pep_score,num_peptides,num_psms,num_unique_peptides,num_aas,mw_kda,calc_pi,biological_process,cellular_component,molecular_function,entrez_gene_id,ensembl_gene_id,gene_symbol,reactome_pathways,wikipathways
Q9CXW3,,,Calcyclin-binding protein OS=Mus musculus OX=10090 GN=Cacybp PE=1 SV=1,43,7301014.891,6291929.266,5339987.391,5801368.016,5395302.631,7640364.379,6244022.588,6635493.73,11251623.27,8906595.254,10472177.14,9430413.281,8148421.297,9067372.844,7763049.484,5912046.895,7215891.667,7867324.05,6811271.029,7032967.671,10068735.81,7018543.896,7021953.301,7022175.975,8843184.845,7385790.183,7744288.148,8269513.409,6902933.037,7622566.577,7386324.633,6912677.589,5.957336342,6.495149545,5.623287365,5.806316923,8.312603426,5.794408862,5.797223618,5.797407454,7.300806178,6.097602113,6.393572875,6.827191294,5.6989622,6.293081297,6.098043347,5.707007162,0,94.008,10,48,10,229,26.5,7.87,developmental processes;other biological processes,cytosol;nucleus;other cell component,cytoskeletal activity;other molecular function,12301,ENSMUSG00000014226,Cacybp,,
P63321,,,Ras-related protein Ral-A OS=Mus musculus OX=10090 GN=Rala PE=1 SV=1,33,84910476.16,72754951.13,84376941.88,99073984.75,67172078.38,66186813.94,75652817.94,90978605.44,64719534.72,62829399.94,64348555.31,66643047,61292893.28,77573961.69,63987841.16,53033422.59,63237606.19,68929031.35,66424363.4,77282942.67,70860431.62,70891895.33,36616758.14,66134770.15,60407196.99,60564227.15,51387778.62,51848406.01,61779891.28,54249768.45,68263229.74,59921779.69,6.395388479,6.970977548,6.71767377,7.815830974,7.16630523,7.169487239,3.703150819,6.688386429,6.109141616,6.125022497,5.19698368,5.243568162,6.247965866,5.486424377,6.903643248,6.060050064,0,93.748,8,152,5,206,23.5,7.11,cell cycle OR cell proliferation;cell organization and biogenesis;transport;developmental processes;signal transduction;other biological processes,plasma membrane;other membranes;other cell component,signal transduction activity or receptor binding;cytoskeletal activity;other molecular function,56044,ENSMUSG00000008859,Rala,,
Q3USB7,,,Inactive phospholipase C-like protein 1 OS=Mus musculus OX=10090 GN=Plcl1 PE=1 SV=3,15,7931918.906,3807910.406,5845101.141,6163829.984,3457392.617,4062127.563,4702101.641,3993603.141,5265479.984,3182411.453,3739052.875,5431344.672,4777112.547,6183601.656,4985750.695,3470959.109,6879795.045,4487091.117,5668311.275,5968313.045,3788200.097,4609199.662,4428367.163,4838814.037,5035082.964,4231110.987,3498611.325,3490692.261,3428657.846,4931472.152,4652311.637,3908853.025,9.316549375,6.076373739,7.675970217,8.082229602,5.129942537,6.241731905,5.996850351,6.552673386,6.818458796,5.729728017,4.737784329,4.727060413,4.643054031,6.678150075,6.300113708,5.29332952,0,93.688,12,62,12,1096,122.6,5.64,other metabolic processes;signal transduction;other biological processes,plasma membrane;other membranes;other cell component,signal transduction activity or receptor binding;other molecular function,227120,ENSMUSG00000038349,Plcl1,,
H3BJY2,,,"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 1 OS=Mus musculus OX=10090 GN=Asap1 PE=1 SV=1",14,1668883.781,3725140.563,2662812.281,1869801.438,2381141.188,1884574.953,2767971.625,3593392.453,4181830.531,5361199.375,5445450.781,4099335.719,3981673.531,3347993.625,3033225.875,2979896.922,2145163.86,3554734.756,2918461.605,2421790.434,2774436.835,2763018.505,3802849.318,3618887.666,3500099.14,4354026.576,3903948.489,3275747.289,4263057.085,2917799.787,2733681.001,3271978.582,4.107960489,6.807270157,5.588815467,4.637696728,5.313009934,5.291143982,7.282406271,6.930122133,6.702643674,8.337903446,7.476009848,6.273012839,8.163698072,5.587548095,5.23496305,6.265795814,0,93.08,10,50,10,1144,126.9,7.43,other biological processes,,enzyme regulator activity;other molecular function,,ENSMUSG00000022377,Asap1,,
O54833,,,Casein kinase II subunit alpha' OS=Mus musculus OX=10090 GN=Csnk2a2 PE=1 SV=1,32,7174622.344,9582060.719,7434515.344,7649438.875,7843057.25,8699835.719,8678286.219,7956660.063,10500413.75,10759866.72,11506497.68,9708512.5,8878287.375,10633866.63,9969320.344,8055204.313,7711284.866,9976456.955,8638557.45,7241275.152,9116203.268,8061949.357,9846855.688,9794195.348,9511379.186,10536099.84,9497386.575,7456843.204,7542501.785,8955306.352,7443258.759,7521741.723,5.553628317,7.184993786,6.221445337,5.215129701,6.565443437,5.806175108,7.09165561,7.0537299,6.850047132,7.588045759,6.839969725,5.370380721,5.432071597,6.449566293,5.360597272,5.417120305,0,92.876,9,69,8,350,41.2,8.56,cell-cell signaling;cell cycle OR cell proliferation;protein metabolism;other metabolic processes;developmental processes;signal transduction;other biological processes,plasma membrane;other membranes;cytosol;nucleus;other cell component,kinase activity;other molecular function,13000,ENSMUSG00000046707,Csnk2a2,RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known; Regulation of TP53 Activity through Phosphorylation; Regulation of PTEN stability and activity; Signal transduction by L1; Condensation of Prometaphase Chromosomes; Synthesis of PC; Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding; WNT mediated activation of DVL; Receptor Mediated Mitophagy,TNF-alpha NF-kB Signaling Pathway; Wnt Signaling Pathway NetPath
Q5H8C4,,,Vacuolar protein sorting-associated protein 13A OS=Mus musculus OX=10090 GN=Vps13a PE=1 SV=1,6,1220879.734,2530337.75,2916308.297,3112582.016,2297496.797,2640466.609,3869783.047,2680594.047,2710276.422,3409982.57,3417789.742,2540852.086,2100746.266,2574938.625,3300927.359,2407866.781,1990349.985,2999213.76,3061462.638,2879749.947,2858516.425,3008398.054,3639843.386,2815143.935,2485781.95,3231972.488,2535492.663,2708622.319,2464919.236,2484428.585,2723643.122,3063713.681,4.427796533,6.672147304,6.810628158,6.406384266,6.359147492,6.692578979,8.097312554,6.262659656,5.529950402,7.189949849,5.640538452,6.025688248,5.483538537,5.526939663,6.059104007,6.815635901,0,92.844,13,63,12,3166,359.2,6.19,cell organization and biogenesis;protein metabolism;other metabolic processes;transport;developmental processes;other biological processes,other membranes;cytoskeleton;mitochondrion;ER/Golgi;other cytoplasmic organelle;other cell component,,271564,ENSMUSG00000046230,Vps13a,,
Q61151,,,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit epsilon isoform OS=Mus musculus OX=10090 GN=Ppp2r5e PE=1 SV=3,21,4907548.5,7858365.609,7822091.914,8290880.375,6372806.266,9675331.125,9881700.281,9355626.109,14317953.75,11756542.25,13965371.69,14201030.75,11873752.91,13855680.84,12966603.84,9995726.25,6609770.106,7397040.52,9768673.418,10345452.63,8188387.644,10071103.5,10457168.31,10561815.72,12401513.29,9837415.326,11271812.37,9830340.176,9675003.243,9898621.968,11677256.01,11358568.78,4.147958877,4.642010145,6.130327526,6.492285114,5.138619751,6.320117413,6.562392247,6.628063696,7.782565248,6.173466486,7.073621843,6.169026478,6.071544841,6.211876692,7.328057852,7.128065792,0,92.729,8,92,8,467,54.7,6.95,protein metabolism;other metabolic processes;signal transduction;other biological processes,cytosol;nucleus;other cell component,enzyme regulator activity,26932,ENSMUSG00000021051,Ppp2r5e,"RHO GTPases Activate Formins; PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling; Separation of Sister Chromatids; Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal; Resolution of Sister Chromatid Cohesion; EML4 and NUDC in mitotic spindle formation; CTLA4 inhibitory signaling; Negative regulation of MAPK pathway; Platelet sensitization by LDL; RAF activation; Beta-catenin phosphorylation cascade; Disassembly of the destruction complex and recruitment of AXIN to the membrane",Focal Adhesion-PI3K-Akt-mTOR-signaling pathway; Glycogen Metabolism; IL-6 signaling Pathway; Wnt Signaling Pathway; Wnt Signaling Pathway and Pluripotency
Q00612,,,Glucose-6-phosphate 1-dehydrogenase X OS=Mus musculus OX=10090 GN=G6pdx PE=1 SV=3,27,6177251.719,3139471.219,2277299.594,3100402.203,3635687.289,5373944.266,3569109.313,3015823.438,10059910.84,9319059.156,8960466.563,10615196.72,8453713.719,10083720.22,10243157.66,8057121.219,6234075.831,4320969.954,5020795.957,4528778.182,5467570.422,6266919.443,5728643.133,4409268.347,8703390.233,8079627.139,6604954.386,9377246.963,9005632.957,8032643.478,7774120.749,7213493.878,5.83889197,4.047059653,4.702523036,4.241694725,5.120976052,5.869653595,5.365499121,4.129760729,8.151674238,7.567452066,6.186260189,8.782814564,8.434757514,7.523446743,7.28131201,6.756223797,0,92.642,12,61,12,515,59.2,6.49,other metabolic processes;stress response;developmental processes;other biological processes,plasma membrane;other membranes;cytosol;cytoskeleton;nucleus;other cell component,other molecular function,14381,ENSMUSG00000031400,G6pdx,TP53 Regulates Metabolic Genes; Pentose phosphate pathway,Glutathione metabolism; Oxidative Stress and Redox Pathway; Pentose Phosphate Pathway; Glutathione and one carbon metabolism
Q8R127,,,Saccharopine dehydrogenase-like oxidoreductase OS=Mus musculus OX=10090 GN=Sccpdh PE=1 SV=1,35,42484272.34,48583380.8,52994457.36,60916509.2,55193577.27,52098320.35,59471324.21,53823313.51,33922218.55,34062117.46,35603512.11,41522666.79,45415749.65,53481317.73,43139409.86,29004855.65,41504267.68,43177460.09,44886232.27,54473467.64,68264330.61,45985271.33,44850018.32,40210474.75,46150215.04,42288084.32,40150509.16,37554097.75,46180111.14,49493004.45,32954107.84,37697766.58,5.79814777,6.031892814,6.270608352,7.609945496,9.536529577,6.42414415,6.265549261,5.617404848,6.447186793,5.907646985,5.609027653,5.246308881,6.451363279,6.914174601,4.603690116,5.266379423,0,92.604,10,128,10,429,47.1,8.6,other metabolic processes,plasma membrane;other membranes;other cell component,other molecular function,109232,ENSMUSG00000038936,Sccpdh,Platelet degranulation,
D3YTT4,,,"Isobutyryl-CoA dehydrogenase, mitochondrial OS=Mus musculus OX=10090 GN=Acad8 PE=1 SV=1",29,141619370.4,185230841.9,144740989.1,162059940.8,171655357.7,152069242.9,133033289.8,166562667.2,89137544.81,107513859.9,111618742.8,118512120.1,97822340.84,124312397.9,107276659.4,98609957.38,133278656,149103254,125912654.7,131105201.7,137979171.9,129657526.4,127529945.8,123734246.2,105471737.5,94629182.4,120373868,139677999.6,112116567.7,105180566,136734342.1,128793140.1,6.659677067,7.450401672,6.291612204,6.551073753,6.894552768,6.478736213,6.372425121,6.182761339,5.270219046,4.728437506,6.01484973,6.979439906,5.602248378,5.255669769,6.832351027,6.4355445,0,92.598,11,85,11,413,45,8.02,other metabolic processes,,other molecular function,,ENSMUSG00000031969,Acad8,,
B2RQR5,,,Small G protein signaling modulator 1 OS=Mus musculus OX=10090 GN=Sgsm1 PE=1 SV=1,11,305878.7188,,442377.6406,230783.4531,,923942.4844,758465.7188,838850.0859,5976837.969,3295025.469,4011570.969,8309677.906,5960062.656,6255972.813,5919762,3624314.969,1218615.068,,1739491.839,1008486.775,,1759616.751,1697554.633,1639565.564,4157529.727,3487553.48,3873476.272,4778392.765,4944056.794,4118613.03,4496756.118,3668826.736,,,,,,,,,,,,,,,,,0,92.514,7,32,7,1093,123.2,5.66,other biological processes,other membranes;cytosol,enzyme regulator activity;other molecular function,52850,ENSMUSG00000042216,Sgsm1,,
Q9JJV2,,,Profilin-2 OS=Mus musculus OX=10090 GN=Pfn2 PE=1 SV=3,26,10394433.3,19854954.92,6569919.633,7324553.898,3942982.051,18085817.43,20602039.15,9537667.5,70457537.88,53699216.78,62740178.72,64105550.09,54282361.09,59753586.53,61364136.34,42351504.41,17644463.7,26424235.42,14689243.81,17057772.67,13145866.55,21938179.92,23934426.44,23429729.54,32591997.07,41541918.32,40680460.43,45349831.5,42278687.19,33004626.06,45701914.38,38557710.9,3.691533867,5.528417391,3.073249599,3.568787728,2.750347782,4.589855241,5.007505317,4.901913801,6.818822212,8.691304026,8.511071799,9.48798681,8.845449104,6.905151494,9.561648776,8.066955055,0,92.496,4,91,4,140,15,6.99,cell organization and biogenesis;other biological processes,cytosol;cytoskeleton;other cell component,cytoskeletal activity;other molecular function,18645,ENSMUSG00000027805,Pfn2,RHO GTPases Activate Formins; Signaling by ROBO receptors,
O35609,,,Secretory carrier-associated membrane protein 3 OS=Mus musculus OX=10090 GN=Scamp3 PE=1 SV=3,23,14667752.91,13339134.91,14925936.94,15957194.89,14170547.84,13650313.56,13003875.34,14735193.25,17796335.45,14055339.69,17908296.3,20460899.56,14561331.73,17370385.44,18384754.89,13472250.93,15563352.88,16847365.99,13499784.94,13823062.95,14907727.31,16175756.14,13825303.06,13076929.79,14743772.91,13027321.27,18735482.26,16322491.29,14515584.64,14542290.05,14975133.98,17076243.43,6.440249631,6.971585331,5.586327425,5.720102649,6.168946117,6.69366738,5.721029627,5.411346315,6.101100374,5.390817881,7.752904123,6.754387652,6.0066741,6.017725027,6.196839579,7.066296788,0,92.491,6,64,6,349,38.4,7.64,transport;other biological processes,other membranes;ER/Golgi;other cytoplasmic organelle;other cell component,other molecular function,24045,ENSMUSG00000028049,Scamp3,,
Q641P0,,,Actin-related protein 3B OS=Mus musculus OX=10090 GN=Actr3b PE=1 SV=1,28,4484871.594,9391991.063,7370237.594,6424454.25,6319752.469,5620693.719,10448091.44,7554763.25,9026842.563,8999861.438,13082265.25,8710361.969,8530908.188,10206613.13,8429117.031,7410959.813,8356764.319,7986648.369,7385430.548,7513814.171,7507832.877,7827984.305,8549309.171,6414766.734,8781296.773,9548486.761,9846188.933,8052817.87,7924550.944,8024942.006,8697459.979,9052467.845,6.356367162,6.074847571,5.617546029,5.715197873,5.710648349,5.954163655,6.502821666,4.879234482,6.679277328,7.262821516,7.489261348,6.125177775,6.027614693,6.103974684,6.615508933,6.885536932,0,92.466,9,106,7,418,47.5,6.02,,cytoskeleton;other cell component,cytoskeletal activity;other molecular function,242894,ENSMUSG00000056367,Actr3b,,
Q80Y24,,,Prickle-like protein 2 OS=Mus musculus OX=10090 GN=Prickle2 PE=1 SV=3,12,2504932.844,3661126.25,3269963.75,3094907.219,2830290.313,3031655.609,4310051.094,3498603.906,2869441.953,2604700.938,3550358.063,2774834.125,3260533.719,2696166.5,2615730,2238768.109,3601997.362,3301826.406,3794414.229,4024013.973,4075084.683,3195811.107,3553152.373,3286613.172,2697394.681,2992772.657,3011981.458,2696473.396,2854860.754,2768341.014,2642727.07,2912365.952,7.006436983,6.422558464,7.380717282,7.827323978,7.926664336,6.216342456,6.911425992,6.392966391,5.246846112,5.82140155,5.858765612,5.24505407,5.553141759,5.384847603,5.140509227,5.664998183,0,92.399,7,45,7,845,95.7,7.27,cell organization and biogenesis;developmental processes;other biological processes,plasma membrane;other membranes;nucleus;other cell component,other molecular function,243548,ENSMUSG00000030020,Prickle2,,
P62137,,,Serine/threonine-protein phosphatase PP1-alpha catalytic subunit OS=Mus musculus OX=10090 GN=Ppp1ca PE=1 SV=1,32,4449910.188,11997459.97,10659591.44,11117831.5,9754688.875,8924608.188,7413938.375,9166031.125,12000224.31,12431792.5,12629936.81,11025067.94,13270402.75,13665751.63,13444072.94,10469298.38,7582007.978,11563701.98,9739957.738,9972605.46,10078511.3,9381010.428,9036837.334,9773730.244,9935721.224,12225143.38,11594838.13,11514149.11,12108428.96,9703948.88,12856768.23,10725518.78,4.518670885,6.891652396,5.804750349,5.943402074,6.00651908,5.590827498,5.385709679,5.824877846,5.921420071,7.285853512,6.910208698,6.862120234,7.216294886,5.783290047,7.662284772,6.392117972,0,92.377,8,101,4,330,37.5,6.33,cell adhesion;cell cycle OR cell proliferation;protein metabolism;other metabolic processes;developmental processes;other biological processes,plasma membrane;other membranes;cytosol;nucleus;other cell component,other molecular function,19045,ENSMUSG00000040385; ENSMUSG00000096994,Ppp1ca,DARPP-32 events,
A2RT62,,,F-box/LRR-repeat protein 16 OS=Mus musculus OX=10090 GN=Fbxl16 PE=1 SV=1,21,654845.625,1670877.227,2592520.766,1841204.688,748236.2578,2918983.539,1996970.195,2691967.609,9746526.531,8888583.145,9215452.375,8352428.297,8941394.25,8299421.25,9577715.688,7515521.563,1973182.636,2493300.412,3428806.176,2826273.603,2391974.104,3874714.932,3430284.801,3374487.36,5105229.204,6497583.938,6473348.393,5950746.794,6317038.491,4470172.552,6696611.479,6078808.779,2.76423616,3.492870365,4.803422574,3.959333286,3.350922104,5.42809719,4.805493983,4.727327217,7.151927505,9.102480502,9.068528869,8.336415071,8.849553963,6.26227516,9.381298648,8.515817403,0,92.275,8,65,8,479,51.8,6.6,protein metabolism;other metabolic processes,other cell component,,214931,ENSMUSG00000025738,Fbxl16,Neddylation; Antigen processing: Ubiquitination & Proteasome degradation,
O54734,,,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Mus musculus OX=10090 GN=Ddost PE=1 SV=2,31,8646563.477,10686184.51,10239211.71,10395335.2,8713588.828,8615618.594,12087692.56,10633781.74,9413112.844,8162709.469,10154654.09,7922015.445,7557100.109,8791893.375,7230412.047,5782070.805,9373010.827,9839134.269,10019022.73,9189653.25,8912230.249,7419279.313,10869920.53,9803240.592,8031238.587,8958611.419,9082897.774,8302100.39,8321442.377,6632793.254,7903689.279,7588397.419,6.683232724,7.015592464,7.143858235,6.552493372,6.354682604,5.290164624,7.750573423,6.989999215,5.726509606,6.387753743,6.476373574,5.919642048,5.933433454,4.729376904,5.635563194,5.410750813,0,91.976,9,85,9,441,49,5.83,protein metabolism;other metabolic processes;other biological processes,other membranes;ER/Golgi;other cell component,enzyme regulator activity,13200,ENSMUSG00000028757,Ddost,Neutrophil degranulation,
Q8CJH3,,,Plexin-B1 OS=Mus musculus OX=10090 GN=Plxnb1 PE=1 SV=2,7,5471090.438,4857760.031,5326530.883,3194610.789,4111019.734,5270029.414,5847732.609,6077839.891,4367828.203,3729574.828,4471658.484,4031689.047,3303997.379,3869853.734,3854259.438,2693953.398,7531830.239,4330831.886,5327107.505,3221228.726,4635163.322,4642931.691,5451332.92,5559692.405,4453214.753,3865742.7,3459533.861,4393266.485,3751381.328,4001400.522,4346159.96,4236016.227,10.28842496,5.91588465,7.276789851,4.400174856,6.331599163,6.342210698,7.446480858,7.594499121,6.083058749,5.280576226,4.725697926,6.001169854,5.124359429,5.465883817,5.936822686,5.786367153,0,91.969,12,42,12,2119,231.2,5.55,cell organization and biogenesis;developmental processes;signal transduction;other biological processes,plasma membrane;other membranes;other cell component,other molecular function,235611,ENSMUSG00000053646,Plxnb1,G alpha (12/13) signalling events; Sema4D mediated inhibition of cell attachment and migration; Sema4D induced cell migration and growth-cone collapse,
F6VAL0,,,Mitochondrial fission factor (Fragment) OS=Mus musculus OX=10090 GN=Mff PE=1 SV=1,83,1056323,2129154.063,1986855.625,1922701.625,1325884.875,2139938.469,1440487.875,2196688.188,1031794.375,996013.0625,971794.3125,1154843,962282.8125,1130965.125,1008208.938,708509.8125,1086874.617,635771.2225,1425993.056,1457874.777,1144078.955,1537412.543,1289095.43,1431329.068,1075043.457,1132223.477,976909.0342,1052000.207,1315988.541,952498.4076,1679108.057,1074219.307,5.641289912,3.299892857,7.401442742,7.566920918,5.938202041,7.979751973,6.690892339,7.429138657,5.579881725,5.876667629,5.070526991,5.460278549,6.830477746,4.943826616,8.71520523,5.575604074,0,91.952,8,79,1,147,16.3,5.17,,other membranes;ER/Golgi;other cytoplasmic organelle,,,ENSMUSG00000026150,Mff,,
Q80UJ7,,,Rab3 GTPase-activating protein catalytic subunit OS=Mus musculus OX=10090 GN=Rab3gap1 PE=1 SV=4,14,16600065.03,10090804.34,6215462.281,7563966.891,4974356.77,22604506.83,19437038.2,12141694.63,76822825,65423759.63,70975487.5,75078850.44,64319302.13,73211505.88,76050853.53,57413587.88,33846609.07,19462244.7,16713887.83,16955837.24,14716653.37,29516657.46,28849914.19,22941267.05,53962340.49,48667809.81,48460305.38,50649832.17,44900405.55,49138333.66,54244200.46,39873178.79,5.907949023,3.397148274,2.917420682,2.959653117,2.568802025,5.152152976,5.035772476,4.004414032,9.419163856,8.494999863,8.458779823,8.840963238,7.837396844,8.577130127,9.468362709,6.959890937,0,91.769,12,39,12,981,110.1,5.73,cell-cell signaling;cell organization and biogenesis;transport;developmental processes;signal transduction;other biological processes,ER/Golgi;other cell component,enzyme regulator activity;other molecular function,226407,ENSMUSG00000036104,Rab3gap1,RAB GEFs exchange GTP for GDP on RABs; COPI-independent Golgi-to-ER retrograde traffic,
P48774,,,Glutathione S-transferase Mu 5 OS=Mus musculus OX=10090 GN=Gstm5 PE=1 SV=1,51,8762292.289,3381373.117,3280931.695,3679311.16,2585163.473,7313818.785,4932472.691,5683142.821,15122686.17,11851277.61,12085041.33,12959129.87,11868844.63,11368758.98,11750570.11,12355132.74,9831878.974,6505000.632,6194123.096,6278723.509,5721198.456,8709551.105,7418525.926,9265664.184,10987843.45,10324303.68,9638177.955,9630210.881,9594113.18,8353092.205,10634303.98,10402176.3,7.048503397,4.663454379,4.440585345,4.501235633,4.101544258,6.243903196,5.31836339,6.642582323,7.877217778,7.401524137,6.909638558,6.903926939,6.878048389,5.988356746,7.623764277,7.457351256,0,91.758,10,99,9,224,26.6,7.21,other metabolic processes;stress response;other biological processes,non-structural extracellular;cytosol;cytoskeleton;other cell component,other molecular function,14866,ENSMUSG00000004032,Gstm5,Glutathione conjugation,Metapathway biotransformation; Oxidative Stress and Redox Pathway
D6RG60,,,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial OS=Mus musculus OX=10090 GN=Ndufv1 PE=1 SV=1",43,3155327.563,2645123.563,2194265.125,2681068.313,1782575.906,1707850.875,1807521.719,1929391.969,1061526.875,780383.875,923980.125,707697.125,724526.375,903345.875,902054.2656,1030630.219,2167467.155,2039356.422,1758823.682,1909443.605,1500265.408,1412280.442,1496815.59,1800175.013,986350.0849,850794.4935,903014.1371,792851.585,902146.2989,1056421.178,1009179.621,1334067.91,9.888327012,9.303865643,8.024031038,8.711182883,6.844447413,6.443046118,6.828708799,8.212682331,4.499884654,3.881458666,4.119692916,3.617113979,4.115733701,4.819560034,4.604036597,6.086228215,0,91.639,6,89,1,120,13.2,10.43,,,,,ENSMUSG00000037916,Ndufv1,,Electron Transport Chain
Q06138,,,Calcium-binding protein 39 OS=Mus musculus OX=10090 GN=Cab39 PE=1 SV=2,30,8051092.219,4994227.539,5186073.719,5687356.047,2336317.586,7205580.516,7312803.672,4116794.313,15166247.13,13700214.16,15794932.81,22076998.31,10583651.09,15665837.66,13372510.84,9313217.375,13026093.75,6171275.483,7908078.646,7103924.558,4577784.55,7961948.448,9637695.115,6163672.484,10611201.4,10705774.76,10331712.3,14465176.17,9675260.281,10637928.78,10249243.27,9855965.435,8.73749312,4.139497082,5.304489901,4.765088685,3.070633589,5.340624067,6.464662113,4.13439723,7.117659447,7.181096272,6.930186967,9.702784249,6.489859642,7.135587331,6.874869341,6.611070964,0,91.614,12,106,12,341,39.8,6.89,protein metabolism;other metabolic processes;signal transduction;other biological processes,other membranes;cytosol;cytoskeleton;other cell component,enzyme regulator activity;other molecular function,12283,ENSMUSG00000036707,Cab39,Neutrophil degranulation; Energy dependent regulation of mTOR by LKB1-AMPK,Endochondral Ossification; Focal Adhesion-PI3K-Akt-mTOR-signaling pathway
P10518,,,Delta-aminolevulinic acid dehydratase OS=Mus musculus OX=10090 GN=Alad PE=1 SV=1,48,1990861.914,893973.0313,61003.71484,731562.2109,32593.97266,2628775.828,1510897.512,146959.7188,3549209.73,5770384.813,6478496.172,8386459.375,9810311.422,10396480.33,6271657.031,1989021.875,2741686.361,1548787.007,1563792.133,1193321.619,841339.6084,2193931.822,1980371.155,993088.8172,2045580.879,3462481.816,3495561.11,3145988.093,4511032.962,4350825.57,3321005.65,2334111.08,6.902028726,3.898977129,3.936751621,3.004114624,2.118021313,5.523089977,4.985463982,2.50004072,5.149625496,8.716587462,8.799862572,7.919833755,11.35625122,10.95293885,8.360429815,5.875982734,0,91.51,10,35,10,330,36,6.79,cell organization and biogenesis;other metabolic processes;stress response;other biological processes,non-structural extracellular;cytosol,other molecular function,17025,ENSMUSG00000028393,Alad,Neutrophil degranulation; Heme biosynthesis,Heme Biosynthesis
Q8CAA7,,,"Glucose 1,6-bisphosphate synthase OS=Mus musculus OX=10090 GN=Pgm2l1 PE=1 SV=1",27,2679338.582,2081009.711,2197032.332,1723685.852,1150848.48,4392040.438,9338926.867,2265615.164,23648451.13,26546451.31,26139041.77,23958233.88,20019987.06,20855031.36,20645715.85,18003018.65,6428614.3,3672512.317,4819841.205,4285720.164,4455373.59,7637021.643,11495240.89,6522473.535,17558676.2,18405024.72,17426310.66,16861673.64,17501012.62,16348797.29,14130289.5,18361943.53,3.457907653,1.975419251,2.592559611,2.305259557,2.396514975,4.107901696,6.183211436,3.508393894,9.444691805,9.899936889,9.373493287,9.069778901,9.413674963,8.793906219,7.600586054,9.876763808,0,91.509,15,78,15,621,70.2,6.49,other metabolic processes,,kinase activity;other molecular function,70974,ENSMUSG00000030729,Pgm2l1,Glycolysis; Glycogen breakdown (glycogenolysis); Galactose catabolism; Glycogen synthesis,
Q3TDN2,,,FAS-associated factor 2 OS=Mus musculus OX=10090 GN=Faf2 PE=1 SV=2,29,7020802.52,4479555.273,6788092.789,6786945.133,5534110.789,5831083.602,5461646.922,6944681.563,3990931.5,4495123.906,4846709.391,5297166.25,4854343.609,5573818.523,5104054.625,4129589.746,6636031.034,7135725.276,6160835.473,5444239.172,5282844.244,6055869.597,5744688.083,6848492.103,4596842.784,5073145.969,4255041.261,5297947.306,8881097.262,5391389.472,4168616.884,5408064.148,7.183338964,7.724245583,6.668951558,5.893253839,5.718547833,6.5553286,6.218482331,7.413322799,4.975968272,5.491554653,4.605976603,5.734896524,9.613567458,5.83604535,4.512424359,5.854095274,0,91.448,8,85,8,445,52.4,5.47,cell organization and biogenesis;protein metabolism;other metabolic processes;stress response;transport;other biological processes,other membranes;ER/Golgi;other cell component,enzyme regulator activity;other molecular function,76577,ENSMUSG00000025873,Faf2,Neutrophil degranulation; RHOA GTPase cycle,
